nom,line,mode,order,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer,has_tram
Pont de Sèvres,9,METRO,1,48.82966919074605,2.2305052170885546,92,0,0,0,0,0,0
Billancourt,9,METRO,2,48.83191997405451,2.237891101038026,92,0,0,0,0,0,0
Marcel Sembat,9,METRO,3,48.83359298218974,2.243583048618053,92,0,0,0,0,0,0
Porte de Saint-Cloud,9,METRO,4,48.83799728287381,2.2567894964207142,16,0,0,0,0,0,0
Exelmans,9,METRO,5,48.842624465259945,2.25967486021195,16,0,0,0,0,0,0
Michel-Ange - Molitor,9,METRO,6,48.84491122756327,2.261511916905205,16,0,0,0,0,0,0
Michel-Ange - Auteuil,9,METRO,7,48.84770893216831,2.2638093220226634,16,0,0,0,0,0,0
Jasmin,9,METRO,8,48.85243341872557,2.267933291647067,16,0,0,0,0,0,0
Ranelagh,9,METRO,9,48.855306214887065,2.270032697561899,16,0,0,0,0,0,0
La Muette,9,METRO,10,48.85809196689865,2.2740962446697224,16,0,0,0,0,0,0
Rue de la Pompe,9,METRO,11,48.86403732937509,2.277916063289398,16,0,0,0,0,0,0
Trocadéro,9,METRO,12,48.863088061116,2.28683987979629,16,0,0,0,0,0,0
Iéna,9,METRO,13,48.864685839288676,2.293906396859107,16,0,0,0,0,0,0
Alma - Marceau,9,METRO,14,48.8647282422178,2.301130527470699,8,0,0,0,0,0,0
Franklin D. Roosevelt,9,METRO,15,48.86872488799857,2.309488192337113,8,1,0,0,0,0,0
Saint-Philippe-du-Roule,9,METRO,16,48.87215435003593,2.310001699600818,8,0,0,0,0,0,0
Miromesnil,9,METRO,17,48.87369210197914,2.3146768238242688,8,0,0,0,0,0,0
Saint-Augustin,9,METRO,18,48.874632152132925,2.321031570403537,8,0,0,0,0,0,0
Havre-Caumartin,9,METRO,19,48.87366675194512,2.327651103418782,9,0,0,0,0,0,0
Chaussée d'Antin - La Fayette,9,METRO,20,48.87280723715393,2.333970457594147,9,0,0,0,0,0,0
Richelieu - Drouot,9,METRO,21,48.872135870317955,2.3385912215385414,9,1,0,0,0,0,0
Grands Boulevards,9,METRO,22,48.87141461757831,2.343167503558387,2,0,0,0,0,0,0
Bonne Nouvelle,9,METRO,23,48.8706433160169,2.3484940979375373,10,0,0,0,0,0,0
Strasbourg - Saint-Denis,9,METRO,24,48.86950305730265,2.3538223820093616,10,0,0,0,0,0,0
République,9,METRO,25,48.86751235781114,2.3633023407804536,3,0,0,0,0,0,0
Oberkampf,9,METRO,26,48.86487188759515,2.3682236708807456,11,0,0,0,0,0,0
Saint-Ambroise,9,METRO,27,48.86141665790915,2.3738805382115475,11,0,0,0,0,0,0
Voltaire,9,METRO,28,48.85766243438601,2.3800316941488044,11,0,0,0,0,0,0
Charonne,9,METRO,29,48.854939443448494,2.384782396448888,11,0,0,0,0,0,0
Rue des Boulets,9,METRO,30,48.85221407333194,2.3891047050322425,11,0,0,0,0,0,0
Nation,9,METRO,31,48.848979537674516,2.395921369214201,11,0,0,0,0,1,0
Buzenval,9,METRO,32,48.85176243983227,2.401170769368413,20,0,0,0,0,0,0
Maraîchers,9,METRO,33,48.85273102047999,2.406038544798052,20,0,0,0,0,0,0
Porte de Montreuil,9,METRO,34,48.85348263120656,2.410718154027495,20,0,0,0,0,0,1
Robespierre,9,METRO,35,48.855754613895044,2.4229449336324724,93,0,0,0,0,0,0
Croix de Chavaux,9,METRO,36,48.857992585158016,2.4358546126745826,93,0,0,0,0,0,0
Mairie de Montreuil,9,METRO,37,48.862313130940244,2.4414386664522225,93,0,0,0,0,0,0
Gare d'Austerlitz,10,METRO,1,48.84228236697996,2.364395394600644,13,0,0,0,1,1,0
Jussieu,10,METRO,2,48.846197891637004,2.3549316718232256,5,0,0,0,1,0,0
Cardinal Lemoine,10,METRO,3,48.84670003526311,2.3513280016731763,5,1,0,0,1,0,0
Maubert - Mutualité,10,METRO,4,48.85019546606951,2.3482804131694897,5,0,0,0,1,0,0
Cluny - La Sorbonne,10,METRO,5,48.851026876874485,2.3448963012120796,5,0,0,0,1,0,0
Odéon,10,METRO,6,48.8519477060765,2.340619126473996,6,0,0,0,1,0,0
Mabillon,10,METRO,7,48.85284373829949,2.335142819346476,6,1,0,0,1,0,0
Sèvres - Babylone,10,METRO,8,48.85093150598804,2.326104689925573,6,0,0,0,1,0,0
Vaneau,10,METRO,9,48.84889457005888,2.3213512423547358,7,0,0,0,1,0,0
Duroc,10,METRO,10,48.84668027285166,2.3162843486517035,15,0,0,0,1,0,0
